"","spc_common","boroname","numtrees","avghealth"
"331","serviceberry","Manhattan",38,1.6578947368421
"332","mulberry","Manhattan",68,1.63235294117647
"333","hardy rubber tree","Manhattan",66,1.59090909090909
"334","red horse chestnut","Manhattan",1,2
"335","tartar maple","Manhattan",12,1.16666666666667
"336","katsura tree","Manhattan",38,1.34210526315789
"337","spruce","Manhattan",1,1
"338","Oklahoma redbud","Manhattan",9,1.55555555555556
"339","black maple","Manhattan",10,1.9
"340","white ash","Manhattan",50,1.76
"341","white oak","Manhattan",241,1.57676348547718
"342","bur oak","Manhattan",36,1.72222222222222
"343","American beech","Manhattan",22,1.54545454545455
"344","ash","Manhattan",58,1.60344827586207
"345","Kentucky coffeetree","Manhattan",348,1.82471264367816
"346","black pine","Manhattan",3,2
"347","American hornbeam","Manhattan",85,1.72941176470588
"348","bald cypress","Manhattan",89,1.48314606741573
"349","European hornbeam","Manhattan",167,1.67065868263473
"350","two-winged silverbell","Manhattan",8,1.625
"351","Siberian elm","Manhattan",156,1.79487179487179
"352","Amur maple","Manhattan",30,1.5
"353","paper birch","Manhattan",47,1.57446808510638
"354","eastern redcedar","Manhattan",42,1.78571428571429
"355","crepe myrtle","Manhattan",5,2
"356","horse chestnut","Manhattan",11,1.27272727272727
"357","cucumber magnolia","Manhattan",12,1.33333333333333
"358","hedge maple","Manhattan",23,1.39130434782609
"359","Cornelian cherry","Manhattan",27,1.74074074074074
"360","river birch","Manhattan",27,1.66666666666667
"361","silver birch","Manhattan",10,1.5
"362","Amur maackia","Manhattan",59,1.72881355932203
"363","magnolia","Manhattan",116,1.70689655172414
"364","Schumard's oak","Manhattan",137,1.76642335766423
"365","Kentucky yellowwood","Manhattan",18,1.33333333333333
"366","maple","Manhattan",37,1.10810810810811
"367","red pine","Manhattan",1,2
"368","flowering dogwood","Manhattan",65,1.52307692307692
"369","pine","Manhattan",3,1.33333333333333
"370","Himalayan cedar","Manhattan",6,1.5
"371","crimson king maple","Manhattan",6,0.666666666666667
"372","Norway spruce","Manhattan",3,1.33333333333333
"373","Atlantic white cedar","Manhattan",12,1.58333333333333
"374","Japanese maple","Manhattan",11,1.81818181818182
"375","weeping willow","Manhattan",12,1.66666666666667
"376","pitch pine","Manhattan",5,2
"377","Osage-orange","Manhattan",1,2
"378","mimosa","Manhattan",12,1.66666666666667
"379","pagoda dogwood","Manhattan",18,1.22222222222222
"380","Douglas-fir","Manhattan",2,1
"381","quaking aspen","Manhattan",2,1.5
"382","Chinese fringetree","Manhattan",9,1.66666666666667
"383","eastern cottonwood","Manhattan",10,1.4
"384","American larch","Manhattan",7,1.28571428571429
"385","paperbark maple","Manhattan",15,1
"386","kousa dogwood","Manhattan",13,1.69230769230769
"387","Amur cork tree","Manhattan",8,1.875
"388","catalpa","Manhattan",13,1.46153846153846
"389","southern magnolia","Manhattan",19,1.78947368421053
"390","Virginia pine","Manhattan",3,1.33333333333333
"391","holly","Manhattan",26,1.80769230769231
"392","Scots pine","Manhattan",2,2
"393","cockspur hawthorn","Manhattan",3,1
"394","European beech","Manhattan",6,2
"395","bigtooth aspen","Manhattan",5,1.4
"396","Ohio buckeye","Manhattan",24,1.70833333333333
"397","blackgum","Manhattan",9,1.77777777777778
"398","white pine","Manhattan",1,1
"399","blue spruce","Manhattan",4,2
"400","boxelder","Manhattan",2,0.5
"401","smoketree","Manhattan",1,2
"402","Persian ironwood","Manhattan",1,2
"403","southern red oak","Manhattan",7,1.85714285714286
"404","European alder","Manhattan",2,0.5
"405","arborvitae","Manhattan",5,2
"406","pignut hickory","Manhattan",1,1
"407","tree of heaven","Queens",271,1.74538745387454
"408","Kentucky yellowwood","Queens",187,1.79679144385027
"409","honeylocust","Queens",20290,1.8285855101035
"410","American elm","Queens",1709,1.78993563487419
"411",NA,"Queens",12581,1.5
"412","northern red oak","Queens",2697,1.84315906562847
"413","golden raintree","Queens",1304,1.79217791411043
"414","purple-leaf plum","Queens",3035,1.75453047775947
"415","Japanese tree lilac","Queens",1964,1.770366598778
"416","Siberian elm","Queens",340,1.66764705882353
"417","ginkgo","Queens",5971,1.79417183051414
"418","silver linden","Queens",4146,1.88229618909793
"419","katsura tree","Queens",364,1.5467032967033
"420","American hophornbeam","Queens",295,1.81016949152542
